Name	Type	Class	Power	Hit	PP
ミストフィールド	フェアリー	変化	0	100	10
みずびたし	みず	変化	0	100	20
みちづれ	ゴースト	変化	0	100	5
ミラータイプ	ノーマル	変化	0	100	15
めいそう	エスパー	変化	0	100	20
メロメロ	ノーマル	変化	0	100	15
ものまね	ノーマル	変化	0	100	10
もりののろい	くさ	変化	0	100	20
やどりぎのタネ	くさ	変化	0	90	10
ゆびをふる	ノーマル	変化	0	100	10
リサイクル	ノーマル	変化	0	100	10
リフレクター	エスパー	変化	0	100	20
りゅうのまい	ドラゴン	変化	0	100	20
ロックオン	ノーマル	変化	0	100	5
ロックカット	いわ	変化	0	100	20
ワイドガード	いわ	変化	0	100	10
わたほうし	くさ	変化	0	100	40
わるだくみ	あく	変化	0	100	20
ワンダールーム	エスパー	変化	0	100	10
ドラムアタック	くさ	物理	80	100	10
えだづき	くさ	物理	40	100	40
かえんボール	ほのお	物理	120	90	5
コートチェンジ	ノーマル	変化	0	100	100
ねらいうち	みず	特殊	80	100	15
ほおばる	ノーマル	変化	0	100	10
くらいつく	あく	物理	80	100	10
いのちのしずく	みず	変化	0	100	10
タールショット	いわ	変化	0	100	15
デコレーション	フェアリー	変化	0	100	15
Gのちから	くさ	物理	80	100	10
りんごさん	くさ	特殊	80	100	10
どげざつき	あく	物理	80	100	10
ソウルクラッシュ	フェアリー	物理	75	100	15
まほうのこな	エスパー	変化	0	100	20
ワンダースチーム	フェアリー	特殊	90	95	10
オーバードライブ	でんき	特殊	80	100	10
おちゃかい	ノーマル	変化	0	100	10
オーラぐるま	でんき	物理	110	100	10
はいすいのじん	かくとう	変化	0	100	5
ワイドブレイカー	ドラゴン	物理	60	100	15
ソウルビート	ドラゴン	変化	0	100	100
ドラゴンアロー	ドラゴン	物理	50	100	10
ダイマックスほう	ドラゴン	特殊	100	100	5
ボディプレス	かくとう	物理	80	100	10
つるのムチ	くさ	物理	45	100	25
クロスフレイム	ほのお	特殊	100	100	5
あおいほのお	ほのお	特殊	130	85	5
クロスサンダー	でんき	物理	100	100	5
らいげき	でんき	物理	130	85	5
こごえるせかい	こおり	特殊	65	95	10
しんぴのつるぎ	かくとう	特殊	85	100	10
かげぬい	ゴースト	物理	80	100	10
サイコブレイク	エスパー	特殊	100	100	10
メテオドライブ	はがね	物理	100	100	5
シャドーレイ	ゴースト	特殊	100	100	5
ナイトバースト	あく	特殊	85	95	10
フォトンゲイザー	エスパー	特殊	100	100	5
プリズムレーザー	エスパー	特殊	160	100	10
コールドフレア	こおり	特殊	140	90	5
フリーズボルト	こおり	物理	140	90	5
いやしのすず	ノーマル	変化	0	100	5
はめつのねがい	はがね	特殊	140	100	5
てっていこうせん	はがね	特殊	140	95	5
りゅうせいぐん	ドラゴン	特殊	130	90	5
くさのちかい	くさ	特殊	80	100	10
ほのおのちかい	ほのお	特殊	80	100	10
みずのちかい	みず	特殊	80	100	10
ハードプラント	くさ	特殊	150	90	5
ブラストバーン	ほのお	特殊	150	90	5
ハイドロカノン	みず	特殊	150	90	5
うたかたのアリア	みず	特殊	90	100	10
ボルテッカー	でんき	物理	120	100	15
ワイドフォース	エスパー	特殊	80	100	10
アイアンローラー	はがね	物理	130	100	5
スケイルショット	ドラゴン	物理	25	90	20
メテオビーム	いわ	特殊	120	90	10
シェルアームズ	どく	特殊	90	100	10
ミストバースト	フェアリー	特殊	100	100	5
グラススライダー	くさ	物理	55	100	20
ライジングボルト	でんき	特殊	70	100	20
だいちのはどう	ノーマル	特殊	50	100	10
はいよるいちげき	むし	物理	70	90	10
しっとのほのお	ほのお	特殊	70	100	5
うっぷんばらし	あく	物理	75	100	5
ポルターガイスト	ゴースト	物理	110	90	5
コーチング	かくとう	変化	0	100	10
クイックターン	みず	物理	60	100	20
トリプルアクセル	こおり	物理	20	90	10
ダブルウイング	ひこう	物理	40	90	10
ねっさのだいち	じめん	特殊	70	100	10
ジャングルヒール	くさ	変化	0	100	10
あんこくきょうだ	あく	物理	75	100	5
すいりゅうれんだ	みず	物理	25	100	5
テクスチャー	ノーマル	変化	0	100	30
テクスチャー2	ノーマル	変化	0	100	30
ドラゴンハンマー	ドラゴン	物理	90	100	15
タマゴうみ	ノーマル	変化	0	100	5
ミルクのみ	ノーマル	変化	0	100	5
ほのおのまい	ほのお	特殊	80	100	10
フェアリーロック	フェアリー	変化	0	100	10
アクセルロック	いわ	物理	40	100	20
フラワーヒール	フェアリー	変化	0	100	10
すなあつめ	じめん	変化	0	100	5
フルールカノン	フェアリー	特殊	130	90	5
らいめいげり	かくとう	物理	90	100	10
もえあがるいかり	あく	特殊	90	100	10
いてつくしせん	エスパー	特殊	90	100	10
ぶきみなじゅもん	エスパー	特殊	80	100	5
サンダープリズン	でんき	特殊	80	90	15
ドラゴンエナジー	ドラゴン	特殊	150	100	5
ブリザードランス	こおり	物理	120	100	5
アストラルビット	ゴースト	特殊	120	100	5
せいなるほのお	ほのお	物理	100	95	5
エアロブラスト	ひこう	特殊	100	95	5
ミストボール	エスパー	特殊	95	100	5
ラスターパージ	エスパー	特殊	95	100	5
スチームバースト	みず	特殊	110	95	5
みかづきのまい	エスパー	変化	0	100	10
シャドーダイブ	ゴースト	物理	120	100	5
にぎりつぶす	ノーマル	物理	0	100	5
マグマストーム	ほのお	特殊	100	75	5
あくうせつだん	ドラゴン	特殊	100	95	5
ときのほうこう	ドラゴン	特殊	150	90	5
ガリョウテンセイ	ひこう	物理	120	100	5
だんがいのつるぎ	じめん	物理	120	85	10
こんげんのはどう	みず	特殊	110	85	10
ダイヤストーム	いわ	物理	100	95	5
さばきのつぶて	ノーマル	特殊	100	100	10
アイスハンマー	こおり	物理	100	90	10
めざめるダンス	ノーマル	特殊	90	100	15
ハートスワップ	エスパー	変化	0	100	10
いにしえのうた	ノーマル	特殊	75	100	10
いじげんホール	エスパー	特殊	80	100	5
ハッピータイム	ノーマル	変化	0	100	30
いじげんラッシュ	あく	物理	100	100	5
きょじゅうざん	はがね	物理	100	100	5
きょじゅうだん	はがね	物理	100	100	5
とびつく	むし	物理	50	100	20
くさわけ	くさ	物理	50	100	20
ひやみず	みず	特殊	50	100	20
がんせきアックス	いわ	物理	65	90	15
はるのあらし	フェアリー	特殊	100	80	5
しんぴのちから	エスパー	特殊	70	90	10
だいふんげき	ほのお	物理	120	100	10
ウェーブタックル	みず	物理	120	100	10
クロロブラスト	くさ	特殊	150	95	5
ひょうざんおろし	こおり	物理	100	85	10
しょうりのまい	かくとう	変化	0	100	10
ぶちかまし	じめん	物理	120	100	5
どくばりセンボン	どく	物理	60	100	10
オーラウイング	エスパー	特殊	80	100	10
うらみつらみ	ゴースト	特殊	75	100	10
たてこもる	はがね	変化	0	100	10
3ぼんのや	かくとう	物理	90	100	10
ひゃっきやこう	ゴースト	特殊	60	100	15
ひけん･ちえなみ	あく	物理	65	90	15
こがらしあらし	ひこう	特殊	100	80	10
かみなりあらし	でんき	特殊	100	80	10
ねっさのあらし	じめん	特殊	100	80	10
みかづきのいのり	エスパー	変化	0	100	5
テラバースト	ノーマル	特殊	80	100	10
トリックフラワー	くさ	物理	70	100	10
フレアソング	ほのお	特殊	80	100	10
アクアステップ	みず	物理	80	100	10
アクセルブレイク	かくとう	物理	100	100	5
イナズマドライブ	でんき	特殊	100	100	5
しっぽきり	ノーマル	変化	0	100	10
おかたづけ	ノーマル	変化	0	100	10
ゆきげしき	こおり	変化	0	100	10
ハイパードリル	ノーマル	物理	100	100	5
ツインビーム	エスパー	特殊	40	100	10
アーマーキャノン	ほのお	特殊	120	100	5
むねんのつるぎ	ほのお	物理	90	100	10
スレッドトラップ	むし	変化	0	100	10
かかとおとし	かくとう	物理	120	90	10
おはかまいり	ゴースト	物理	50	100	10
ルミナコリジョン	エスパー	特殊	80	100	10
いっちょうあがり	ドラゴン	物理	80	100	10
ジェットパンチ	みず	物理	60	100	15
ハバネロエキス	くさ	変化	0	100	15
ホイールスピン	はがね	物理	100	100	5
ネズミざん	ノーマル	物理	20	90	10
アイススピナー	こおり	物理	80	100	15
きょけんとつげき	ドラゴン	物理	120	100	5
さいきのいのり	ノーマル	変化	0	100	1
しおづけ	いわ	物理	40	100	15
トリプルダイブ	みず	物理	30	95	10
キラースピン	どく	物理	30	100	15
うつしえ	ノーマル	変化	0	100	10
みをけずる	ノーマル	変化	0	100	10
ドゲザン	あく	物理	85	100	10
カタストロフィ	あく	特殊	0	90	10
ふんどのこぶし	ゴースト	物理	50	100	10
でんこうそうげき	でんき	物理	120	100	5
デカハンマー	はがね	物理	160	100	5
ほうふく	あく	物理	0	100	10
アクアカッター	みず	物理	70	100	20
フェイタルクロー	どく	物理	80	100	15
バリアーラッシュ	エスパー	物理	70	90	10
レイジングブル	ノーマル	物理	90	100	10
ゴールドラッシュ	はがね	特殊	120	100	5
さむいギャグ	こおり	変化	0	100	10
ハイドロスチーム	みず	特殊	80	100	15
サイコブレイド	エスパー	物理	80	100	15
シャカシャカほう	くさ	特殊	80	90	15
ツタこんぼう	くさ	物理	100	100	10
